Course Number,Title,Credits,Term(s) Offered,Campus/Online,URL
42300,Electromechanical Motion Control-Planned last offering will be Spring 2022,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=49&show=true&type=undergrad
43200,Elements of Power System Engineering,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=37&show=true&type=undergrad
43300,Power Electronics ,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=543&show=true&type=undergrad
43700,Computer Design and Prototyping,4,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=143&show=true&type=undergrad
43800,Digital Signal Processing with Applications,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=62&show=true&type=undergrad
44000,Transmission of Information,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=75&show=true&type=undergrad
44100,Distributed Parameter Systems,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=94&show=true&type=undergrad
45500,Integrated Circuit Engineering ,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=592&show=true&type=undergrad
45600,Digital Integrated Circuit Analysis and Design,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=65&show=true&type=undergrad
45700,Electronic Design Laboratory,1,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=98&show=true&type=undergrad
46100,Software Engineering,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=402&show=true&type=undergrad
46300,Introduction to Computer Communication Networks ,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=604&show=true&type=undergrad
46800,Introduction to Compilers and Translation Engineering,4,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=530&show=true&type=undergrad
46900,Operating Systems Engineering,4,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=56&show=true&type=undergrad
47000,Curricular Practical Training,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=431&show=true&type=undergrad
47001,Part-Time Curricular Practical Training,0,"Each Fall, Spring, Summer",Work Experience,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=763&show=true&type=undergrad
47300,Introduction to Artificial Intelligence,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=64&show=true&type=undergrad
47700,Digital Systems Senior Project,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=397&show=true&type=undergrad
48300,Digital Control Systems Analysis and Design ,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=620&show=true&type=undergrad
49022,Electrical Engineering Senior Design Projects,4,"Each Fall, Spring",On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=661&show=true&type=undergrad
49401,Professional Communication Capstone,1,"Each Fall, Spring",Online only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=723&show=true&type=undergrad
49595,Game Theory for Electrical and Computer Engineering,3,None,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=824&show=true&type=undergrad
49595,Introduction to Reinforcement Learning,3,Experimental,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=839&show=true&type=undergrad
49595,Open Source Software Senior Design Projects,4,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=783&show=true&type=undergrad
49595,Selected Topics in Electrical and Computer Engineering,0,"Each Fall, Spring, Summer",None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=522&show=true&type=undergrad
49595,Undergraduate Computer Vision,3,Experimental,None,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=826&show=true&type=undergrad
49600,Electrical and Computer Engineering Projects,0,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=632&show=true&type=undergrad
50024,Machine Learning,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=739&show=true&type=undergrad
50616,Physics and Manufacturing of Solar Cells,3,Fall - odd years,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=649&show=true&type=undergrad
50631,Fundamentals of Current Flow,1,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=718&show=true&type=undergrad
50632,Introduction to Quantum Transport,1,"Each Fall, Spring, Summer",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=719&show=true&type=undergrad
50633,Boltzmann Law: Physics to Machine Learning,1,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=717&show=true&type=undergrad
50863,Computer Network Systems,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=663&show=true&type=undergrad
51012,Electromechanics,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=667&show=true&type=undergrad
51018,Hybrid Electric Vehicles,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=671&show=true&type=undergrad
51032,Computational Methods for Power System Analysis,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=92&show=true&type=undergrad
51100,Psychophysics,3,Each Fall,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=337&show=true&type=undergrad
51216,Digital Systems Design Automation,3,Each Spring,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=550&show=true&type=undergrad
51220,Applied Algorithms,3,Fall - odd years,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=695&show=true&type=undergrad
51300,"Diffraction, Fourier Optics and Imaging",3,Fall - odd years,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=336&show=true&type=undergrad
52600,Fundamental of BioMEMS and Micro-Integrated Systems,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=439&show=true&type=undergrad
53800,Digital Signal Processing I,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=108&show=true&type=undergrad
54400,Digital Communications,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=109&show=true&type=undergrad
54700,Introduction to Computer Communication Networks,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=111&show=true&type=undergrad
55200,Introduction to Lasers,3,Each Spring,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=113&show=true&type=undergrad
55700,Integrated Circuit/MEMS Fabrication Laboratory,3,"Each Fall, Spring",On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=375&show=true&type=undergrad
55900,MOS VLSI Design,3,Each Fall,On-campus and online,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=440&show=true&type=undergrad
56200,Introduction to Data Management,3,Fall - odd years,On-campus only,https://engineering.purdue.edu/ECE/Academics/Undergraduates/UGO/CourseInfo/courseInfo?courseid=118&show=true&type=undergrad
